country;contract_name;name;company;bonus;banking;status;bike_stands;count
France;Lyon;5041 - L'HOMME DE LA ROCHE;Vélo'V;False;True;OPEN;20;2344
France;Marseille;7151-PASTEUR;Le vélo;False;True;OPEN;16;2822
France;Marseille;2304 - RÉPUBLIQUE MOISSON;Le vélo;False;True;OPEN;10;2823
France;Mulhouse;18 - CLEMENCEAU;VéloCité;False;False;OPEN;11;2823
France;Nantes;00031-BOURSE;Bicloo;False;False;OPEN;16;2823
France;Nantes;00070-GARE SUD 2;Bicloo;False;False;OPEN;30;2823
France;Paris;13018 - AURIOL CHEVALERET;Velib;False;True;OPEN;25;2820
France;Paris;07023 - BOURDONNAIS TOUR EIFFEL;Velib;False;True;OPEN;60;2820
France;Paris;11039 - JULES FERRY REPUBLIQUE;Velib;False;True;OPEN;36;2820
France;Paris;34004 - VOLTAIRE (SAINT OUEN);Velib;False;True;OPEN;25;2820
France;Paris;21001 - TRANSVAL (BOULOGNE-BILLANCOURT);Velib;False;True;OPEN;26;2820
France;Paris;19034 - PANTIN;Velib;False;True;OPEN;52;2820
France;Paris;19043 - PETITS PONTS;Velib;False;True;OPEN;51;2820
Spain;Valence;122_C_MÚSICO HIPÓLITO MARTÍNEZ;Valenbisi;False;False;OPEN;15;2818
Spain;Valence;006_GUILLEN_CASTRO_CON_CALLE_SAN_PEDRO_PASCUAL;Valenbisi;False;True;OPEN;15;2818
Australia;Brisbane;126 - JANE ST / BOUNDARY ST;CityCycle;False;False;OPEN;18;2827
Belgium;Bruxelles-Capitale;194 - STUYVENBERG;villo;False;True;OPEN;25;2826
Belgium;Bruxelles-Capitale;019 - PLACE MORICHAR/MORICHARPLEIN;villo;True;True;OPEN;20;2826
Belgium;Bruxelles-Capitale;154 - PLASKY/PLASKY;villo;True;True;OPEN;25;2826
Belgium;Bruxelles-Capitale;170 - RIGA;villo;False;True;OPEN;20;2826
Sweden;Lund;LUNDS CENTRAL;Lundahoj;False;True;OPEN;40;2823
France;Lyon;9013 - QUAI PAUL SÉDALLIAN;Vélo'V;False;True;OPEN;20;2823
France;Lyon;8009 - JEAN XXIII / MERMOZ;Vélo'V;False;True;OPEN;20;2823
France;Lyon;10061 - RÉPUBLIQUE;Vélo'V;False;True;OPEN;18;2823
France;Nantes;00092-DT PT RENNES;Bicloo;False;True;OPEN;20;2823
France;Paris;05005 - SAINT JACQUES GAY LUSSAC;Velib;True;True;OPEN;24;2820
France;Paris;15053 - LECOURBE;Velib;False;True;OPEN;45;2820
France;Paris;11035 - GONCOURT;Velib;False;True;OPEN;53;2574
France;Paris;19123 - QUAI DE METZ;Velib;False;True;OPEN;33;2820
France;Paris;20039 - COURONNES;Velib;False;True;OPEN;48;2820
France;Paris;09025 - TAITBOUT CHÂTEAUDUN;Velib;False;True;OPEN;38;2820
France;Paris;33010 - HUGO (AUBERVILLIERS);Velib;False;True;OPEN;32;2274
France;Paris;15110 - PLACE ROBERT GUILLEMARD;Velib;False;True;OPEN;23;2820
Spain;Santander;005_GLORIETA DE LOS DELFINES;Tusbic;False;True;OPEN;20;2819
Spain;Seville;241_PLAZA NUEVA;SEVICI;False;True;OPEN;20;2818
France;Toulouse;00224 - CAMPUS SUPAERO;Vélô;False;True;OPEN;20;2818
Lithuania;Vilnius;14-LUKIŠKIŲ A.;Cyclocity;False;True;OPEN;21;2720
Sweden;Goteborg;LÄPPSTIFTET;Göteborg;False;True;OPEN;29;2146
IRELAND;Dublin;MOLESWORTH STREET;dublinbikes;False;False;CLOSED;20;479
Australia;Brisbane;48 - ANN ST / GOTHA ST;CityCycle;False;False;OPEN;10;2827
Belgium;Bruxelles-Capitale;304 - ARAUCARIA;villo;False;False;OPEN;25;2826
IRELAND;Dublin;BLESSINGTON STREET;dublinbikes;False;True;OPEN;20;2823
Sweden;Goteborg;LÄPPSTIFTET;Göteborg;False;True;OPEN;30;677
Sweden;Goteborg;ROSENLUND/FÄRJELÄGET;Göteborg;False;True;OPEN;30;2823
Russia;Kazan;04 KFU - КФУ;Veli'k;False;True;OPEN;30;2823
France;Lyon;3066 - KIMMERLING / FAURE;Vélo'V;False;True;OPEN;20;2823
France;Lyon;10053 - ROSSELINI / 11 NOVEMBRE;Vélo'V;False;True;OPEN;20;2823
France;Lyon;10114 - BEL AIR / LES BROSSES;Vélo'V;False;True;OPEN;20;2823
France;Nantes;00011-CALVAIRE;Bicloo;True;True;OPEN;15;2823
France;Paris;12120 - CONSERVATION;Velib;False;True;OPEN;50;2820
France;Paris;03101 - PORTE SAINT MARTIN;Velib;False;True;OPEN;34;2820
