country;contract_name;name;company;count
Spain;Seville;077_PLAZA CHAPINA;SEVICI;2818
Spain;Seville;190_AVENIDA HYTASA;SEVICI;2818
JAPAN;Toyama;荒町 ARA-MACHI;cyclocity;2818
Spain;Valence;026_CALLE_SAN_JOSE_DE_CALASANZ;Valenbisi;2818
Spain;Valence;119_C/ JAIME ROIG;Valenbisi;2818
Spain;Valence;080_AMADEO SAVOIA;Valenbisi;2818
Lithuania;Vilnius;27-ŽALIASIS TILTAS;Cyclocity;2818
Belgium;Bruxelles-Capitale;114 - SAISONS/JAARGETIJDEN(FERMÉE);villo;696
Australia;Brisbane;29 - GEORGE STREET / ANN STREET;CityCycle;2827
Belgium;Bruxelles-Capitale;110 - RODIN;villo;2114
IRELAND;Dublin;ECCLES STREET EAST;dublinbikes;2823
IRELAND;Dublin;SMITHFIELD;dublinbikes;2823
Sweden;Goteborg;CHALMERSPLATSEN;Göteborg;2823
Luxembourg;Luxembourg;PISCINE OLYMPIQUE;Veloh;1422
