country;contract_name;name;company;count
Luxembourg;Luxembourg;LEOPOLD GOEBEL;Veloh;2823
Luxembourg;Luxembourg;JEAN MONNET;Veloh;2823
France;Lyon;4041 - BOUSSANGES / AUSTERLITZ;Vélo'V;2823
France;Marseille;6113-LODI VILLAGE;Le vélo;2823
France;Marseille;8131-PROMENADE POMPIDOU DAVID;Le vélo;2823
France;Paris;13021 - BOUSSINGAULT - TOLBIAC;Velib;2820
France;Paris;12021 - COURTELINE;Velib;2820
France;Paris;28003 - JAURES (PUTEAUX);Velib;2820
France;Paris;14110 - ABBE CARTON;Velib;2820
France;Paris;08011 - DUBLIN;Velib;2820
France;Paris;14028 - PLAISANCE ALESIA;Velib;2820
France;Paris;21304 - BLUM (ISSY LES MOULINEAUX);Velib;2820
France;Paris;31012 - CARNOT (MONTREUIL);Velib;2820
France;Toulouse;00261 - VAN DYCK - LAUNAGUET;Vélô;2818
France;Toulouse;00116 - ST MICHEL NOTRE DAME;Vélô;2818
Spain;Valence;067_JUAN VERDEGUER;Valenbisi;2818
Slovenia;Ljubljana;TRNOVO;Bicikelj;2132
France;Amiens;03- VOGEL;Velam;2828
Australia;Brisbane;126 - JANE ST / BOUNDARY ST;CityCycle;2827
Belgium;Bruxelles-Capitale;161 - DEMOLDER;villo;2826
Belgium;Bruxelles-Capitale;326 - ADEPS;villo;2826
Sweden;Goteborg;FÖRENINGSGATAN;Göteborg;2823
France;Lyon;3038 - VIVIER MERLE / PAUL BERT;Vélo'V;2823
France;Lyon;3100 - SISLEY / DAUPHINE;Vélo'V;2823
France;Marseille;2240-DAMES - TERRAS;Le vélo;2823
France;Paris;16110 - OCTAVE FEUILLET;Velib;2820
France;Paris;08013 - MARIGNAN;Velib;2820
France;Paris;13042 - NATIONALE BACH;Velib;2820
France;Paris;13025 - PLACE DE RUNGIS;Velib;2820
France;Paris;17037 - BAYEN PEREIRE;Velib;2820
France;Paris;09039 - CHAUSSEE D'ANTIN;Velib;2820
France;Paris;12005 - CROZATIER;Velib;2820
France;Paris;17032 - ESPACE CHAMPERRET;Velib;2820
France;Paris;08010 - LIEGE;Velib;2820
France;Paris;31701 - BERTON (BAGNOLET);Velib;2820
France;Paris;42705 - CONVENTION (LE KREMLIN BICETRE);Velib;2820
France;Paris;01023 - ANDRE MALRAUX MUSEE DU LOUVRE;Velib;2820
Spain;Seville;174_RONDA TAMARGUILLO;SEVICI;2818
France;Toulouse;00030 - PLACE ANATOLE FRANCE;Vélô;2818
France;Toulouse;00176 - GENERAL COMPANS;Vélô;2818
Belgium;Bruxelles-Capitale;002 - ELOY/ELOY;villo;2826
IRELAND;Dublin;NORTH CIRCULAR ROAD;dublinbikes;2823
Slovenia;Ljubljana;PLEČNIKOV STADION;Bicikelj;2823
